inf_prob,diag_prob,i0,vaccine_efficacy1,vaccine_efficacy2,infection_efficacy,replacement_percentage,permutation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.1,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.2,0.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.3,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.4,0.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.5,0.0,3.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.6,0.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,0.0,2.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.7,0.0,4.0,6.0,1.0,5.0,2.0,5.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.8,0.0,0.0,1.0,0.0,3.0,6.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,9.0,6.0,5.0,12.0,6.0,4.0,5.0,7.0,6.0,9.0,0.0,5.0,5.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,0.9,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,6.0,7.0,7.0,17.0,11.0,16.0,6.0,10.0,11.0,11.0,9.0,11.0,9.0,12.0,18.0,11.0,9.0,9.0
0.6875792503818321,0.2493616477801703,14.0,0.64,0.8,0.97,0.0,1.0,0.0,2.0,2.0,7.0,5.0,8.0,5.0,6.0,7.0,3.0,6.0,7.0,5.0,6.0,12.0,7.0,12.0,3.0,7.0,7.0,10.0,6.0,16.0,6.0,9.0,11.0
